Distance,Roi,Data_length,Mean_ICC
correlation,200,50min,0.8392446809157099
cosine,200,50min,0.8392446936989423
sqeuclidean,200,50min,0.8391191329980918
minkowski,200,50min,0.8424402849106274
euclidean,200,50min,0.8424936330378433
partial_correlation,200,50min,0.6465818779422319
tangent,200,50min,0.6538134725718219
covariance,300,5min,0.3679606618659611
correlation,300,5min,0.45904830108095845
cosine,300,5min,0.4587537361792824
sqeuclidean,300,5min,0.46255527376466876
minkowski,300,5min,0.4721604916350213
euclidean,300,5min,0.47220902685216865
partial_correlation,300,5min,0.38191256215306524
tangent,300,5min,0.35976255322156536
covariance,300,10min,0.546250315649726
correlation,300,10min,0.5457080446914153
cosine,300,10min,0.5457080173809428
sqeuclidean,300,10min,0.5457958652338188
minkowski,300,10min,0.5539687881284614
euclidean,300,10min,0.5541434243633734
partial_correlation,300,10min,0.4253842089008675
tangent,300,10min,0.40518524906494546
covariance,300,15min,0.5839012890637831
correlation,300,15min,0.6418336871423213
cosine,300,15min,0.6418643276974199
sqeuclidean,300,15min,0.6493548950519074
minkowski,300,15min,0.6568510589431246
euclidean,300,15min,0.6568231297671651
partial_correlation,300,15min,0.45907636583685135
tangent,300,15min,0.4444506762466133
covariance,300,20min,0.6875706709643055
correlation,300,20min,0.6867796155788752
cosine,300,20min,0.6867795891185706
sqeuclidean,300,20min,0.6869099277772001
minkowski,300,20min,0.6922882411919676
euclidean,300,20min,0.6923041870903703
partial_correlation,300,20min,0.4766976422763331
tangent,300,20min,0.4582881336185115
covariance,300,25min,0.7107641537795452
correlation,300,25min,0.7425405789967477
cosine,300,25min,0.7424906278649257
sqeuclidean,300,25min,0.7400805913132807
minkowski,300,25min,0.7449421590987146
euclidean,300,25min,0.7449421648269189
partial_correlation,300,25min,0.5064941097581279
tangent,300,25min,0.4907752989372295
covariance,300,30min,0.7671013124850243
correlation,300,30min,0.7671403685235854
cosine,300,30min,0.7671403712139568
sqeuclidean,300,30min,0.7674375783388522
minkowski,300,30min,0.7713848612787965
euclidean,300,30min,0.7713848495898429
partial_correlation,300,30min,0.5166469390177548
tangent,300,30min,0.5097690189913863
covariance,300,35min,0.779312081852192
correlation,300,35min,0.797466662019232
cosine,300,35min,0.7974711667840557
sqeuclidean,300,35min,0.7986235139507742
minkowski,300,35min,0.801617514895958
euclidean,300,35min,0.8016175197030831
partial_correlation,300,35min,0.5330742722617415
tangent,300,35min,0.5233852625989793
covariance,300,40min,0.8136717718573299
correlation,300,40min,0.8134691614885209
cosine,300,40min,0.8134691611591096
sqeuclidean,300,40min,0.8138869389244088
minkowski,300,40min,0.8172105959961619
euclidean,300,40min,0.8172106021266841
partial_correlation,300,40min,0.5473188315810352
tangent,300,40min,0.5353692824095333
covariance,300,45min,0.8246854819448582
correlation,300,45min,0.8358560729177084
cosine,300,45min,0.8358829119884015
sqeuclidean,300,45min,0.8342668966760268
minkowski,300,45min,0.8373518029754098
euclidean,300,45min,0.8373518007821427
partial_correlation,300,45min,0.5618155432911942
tangent,300,45min,0.551444375383615
covariance,300,50min,0.8480181528495792
correlation,300,50min,0.8479771311182329
cosine,300,50min,0.8479771349135325
sqeuclidean,300,50min,0.8481210612370986
minkowski,300,50min,0.8508399631832786
euclidean,300,50min,0.8508399757813694
partial_correlation,300,50min,0.5720381191607247
tangent,300,50min,0.5671484156305221
covariance,400,5min,0.38342343206815255
correlation,400,5min,0.4741291749851253
cosine,400,5min,0.47403433331109374
sqeuclidean,400,5min,0.4755118727969784
minkowski,400,5min,0.485823420842943
