Distance,Roi,Data_length,Mean_ICC
euclidean,300,25min,0.6195199059475198
partial_correlation,300,25min,0.24008175867053388
tangent,300,25min,0.40049117981356513
covariance,300,30min,0.663310591709201
correlation,300,30min,0.6637577925267942
cosine,300,30min,0.663380589639312
sqeuclidean,300,30min,0.6639114756349674
minkowski,300,30min,0.6629123781398855
euclidean,300,30min,0.6629030410841802
partial_correlation,300,30min,0.24437725989768033
tangent,300,30min,0.4138937223641306
covariance,300,35min,0.6964283582870227
correlation,300,35min,0.69946402276399
cosine,300,35min,0.6988971298380331
sqeuclidean,300,35min,0.6931690536751
minkowski,300,35min,0.6924316987076423
euclidean,300,35min,0.6924301236317341
partial_correlation,300,35min,0.2496693309251548
tangent,300,35min,0.42949239167878805
covariance,300,40min,0.7179749299164219
correlation,300,40min,0.7186538009871063
cosine,300,40min,0.717999934388882
sqeuclidean,300,40min,0.7188148102740657
minkowski,300,40min,0.7181137766603946
euclidean,300,40min,0.7181202026457508
partial_correlation,300,40min,0.2552241107281754
tangent,300,40min,0.44161847569195917
covariance,300,45min,0.7443909377441917
correlation,300,45min,0.7464137974577266
cosine,300,45min,0.7457716536264989
sqeuclidean,300,45min,0.7389926643440172
minkowski,300,45min,0.7388666240285111
euclidean,300,45min,0.7388596619251131
partial_correlation,300,45min,0.26079740381157024
tangent,300,45min,0.4551717221525431
covariance,300,50min,0.7607970674078037
correlation,300,50min,0.7614512333088108
cosine,300,50min,0.7607055659642347
sqeuclidean,300,50min,0.7616381340234973
minkowski,300,50min,0.7610542297402204
euclidean,300,50min,0.7610485128531934
partial_correlation,300,50min,0.2651569450948477
tangent,300,50min,0.465279381061484
covariance,400,5min,0.34262411542054716
correlation,400,5min,0.35758331172269864
cosine,400,5min,0.3568318696725085
sqeuclidean,400,5min,0.3232959777355002
minkowski,400,5min,0.32819972489924487
euclidean,400,5min,0.32819154298878883
partial_correlation,400,5min,0.22844475212718537
tangent,400,5min,0.29832519093472104
covariance,400,10min,0.4336392248780939
correlation,400,10min,0.434515101147191
cosine,400,10min,0.4334537041415674
sqeuclidean,400,10min,0.43463592130279527
minkowski,400,10min,0.4350894356912174
euclidean,400,10min,0.4350821026806367
partial_correlation,400,10min,0.22897701783136373
tangent,400,10min,0.32622083883306635
covariance,400,15min,0.5148182938839658
correlation,400,15min,0.5235231703633646
cosine,400,15min,0.5219337564052925
sqeuclidean,400,15min,0.5065868545008955
minkowski,400,15min,0.5091266117420316
euclidean,400,15min,0.5091318193269485
partial_correlation,400,15min,0.22988301659474544
tangent,400,15min,0.35055297489587783
covariance,400,20min,0.574016215600835
correlation,400,20min,0.5755143142396432
cosine,400,20min,0.5738278221991243
sqeuclidean,400,20min,0.575829058938814
minkowski,400,20min,0.5759972654545003
euclidean,400,20min,0.5759946282613284
partial_correlation,400,20min,0.22823580543791924
tangent,400,20min,0.36357710745647176
covariance,400,25min,0.6304984236042487
correlation,400,25min,0.6355734430970184
cosine,400,25min,0.6337575746100327
sqeuclidean,400,25min,0.6218780833237652
minkowski,400,25min,0.6226082334891263
euclidean,400,25min,0.6226059971727611
partial_correlation,400,25min,0.22952263972169423
tangent,400,25min,0.3795192551087849
covariance,400,30min,0.6641624447248443
correlation,400,30min,0.6656796285270452
cosine,400,30min,0.6640272790201892
sqeuclidean,400,30min,0.66592884557825
minkowski,400,30min,0.664925924763215
euclidean,400,30min,0.66491793943945
partial_correlation,400,30min,0.23009465003972565
tangent,400,30min,0.388934432638466
covariance,400,35min,0.6967874873367221
correlation,400,35min,0.7005523822220837
cosine,400,35min,0.6988060864843734
sqeuclidean,400,35min,0.6943270363686251
minkowski,400,35min,0.6938310932252827
euclidean,400,35min,0.6938464418470769
partial_correlation,400,35min,0.23297736640896022
tangent,400,35min,0.400802178632412
covariance,400,40min,0.7188856315928632
correlation,400,40min,0.7203306035462579
cosine,400,40min,0.7186151940865991
sqeuclidean,400,40min,0.7205114118647999
minkowski,400,40min,0.7197135824740702
euclidean,400,40min,0.7197108548375039
partial_correlation,400,40min,0.2359274757687854
tangent,400,40min,0.41053931003003136
covariance,400,45min,0.7447826475017257
correlation,400,45min,0.7474339079928414
cosine,400,45min,0.7457860200950203
sqeuclidean,400,45min,0.740202440264628
minkowski,400,45min,0.7401076544170104
euclidean,400,45min,0.740106623756059
partial_correlation,400,45min,0.23904656250137896
tangent,400,45min,0.4220136473292506
covariance,400,50min,0.7611948993012948
correlation,400,50min,0.7624957663433107
cosine,400,50min,0.7609374156217319
sqeuclidean,400,50min,0.762630780703683
minkowski,400,50min,0.7621846702294433
euclidean,400,50min,0.7621798759636812
partial_correlation,400,50min,0.24150486717300362
tangent,400,50min,0.4293796831832721
covariance,500,5min,0.3442176740516943
correlation,500,5min,0.3580455806409658
cosine,500,5min,0.3578507900359433
sqeuclidean,500,5min,0.3225929556612455
minkowski,500,5min,0.32812070574874497
euclidean,500,5min,0.32811048194454406
partial_correlation,500,5min,0.228752185426764
tangent,500,5min,0.29433762678268555
covariance,500,10min,0.4346302715710757
correlation,500,10min,0.4353162359861532
cosine,500,10min,0.434555551876225
sqeuclidean,500,10min,0.43542135572489804
minkowski,500,10min,0.4362223207862521
euclidean,500,10min,0.43622244440590785
partial_correlation,500,10min,0.2288200733716446
tangent,500,10min,0.3184329403690494
covariance,500,15min,0.5162273733979016
correlation,500,15min,0.5239722457272377
cosine,500,15min,0.5228671189243929
sqeuclidean,500,15min,0.506204884537868
minkowski,500,15min,0.5087754440730211
euclidean,500,15min,0.5087720352108703
partial_correlation,500,15min,0.22781800218218198
tangent,500,15min,0.3411576758208792
covariance,500,20min,0.5747835399383004
correlation,500,20min,0.575897684338595
cosine,500,20min,0.5746330044776992
sqeuclidean,500,20min,0.5761706507204207
minkowski,500,20min,0.5763183040529174
euclidean,500,20min,0.5763091502326758
partial_correlation,500,20min,0.22634746524926258
tangent,500,20min,0.34967787018439644
covariance,500,25min,0.6311290585107505
correlation,500,25min,0.6356661720604452
cosine,500,25min,0.6343769948679281
sqeuclidean,500,25min,0.6215394807921382
minkowski,500,25min,0.6225262247643671
euclidean,500,25min,0.6225334281458401
partial_correlation,500,25min,0.22498866922090352
tangent,500,25min,0.36137850904983615
covariance,500,30min,0.6640467009483346
correlation,500,30min,0.6655862941243268
cosine,500,30min,0.6640349761310141
sqeuclidean,500,30min,0.6658743838269557
minkowski,500,30min,0.6650915768923067
euclidean,500,30min,0.6650768831184642
partial_correlation,500,30min,0.22373755362213402
tangent,500,30min,0.3687701259127219
covariance,500,35min,0.6965561613450435
correlation,500,35min,0.7003812644746116
cosine,500,35min,0.698440961364826
sqeuclidean,500,35min,0.6937511375215696
minkowski,500,35min,0.6933625194528816
euclidean,500,35min,0.6933641829818423
partial_correlation,500,35min,0.22222029050884393
tangent,500,35min,0.3779168138702407
covariance,500,40min,0.7182708595211781
correlation,500,40min,0.7198568972139958
cosine,500,40min,0.7180782305599391
sqeuclidean,500,40min,0.720169419674873
minkowski,500,40min,0.7194274151692541
euclidean,500,40min,0.7194289873649722
partial_correlation,500,40min,0.22392442019384096
tangent,500,40min,0.3841864317145367
covariance,500,45min,0.7441817760619236
correlation,500,45min,0.7469395243469326
cosine,500,45min,0.7452013656034845
sqeuclidean,500,45min,0.7394718898900698
minkowski,500,45min,0.7394233318277522
euclidean,500,45min,0.7394270751013472
partial_correlation,500,45min,0.2244920172568531
tangent,500,45min,0.39216258816428645
covariance,500,50min,0.7602953671458877
correlation,500,50min,0.7617407424922019
