,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
35,correlation,3.5,600,0.9942528735632183,0.9333333333333333
36,correlation,3.5,700,0.9885057471264368,0.9
37,correlation,3.5,800,0.9885057471264368,0.9
38,correlation,3.5,900,0.9908045977011495,0.9333333333333333
39,correlation,3.5,1000,0.9919540229885058,0.9333333333333333
40,correlation,4.5,100,0.9758620689655173,0.7666666666666667
41,correlation,4.5,200,0.9770114942528736,0.9
42,correlation,4.5,300,0.9862068965517241,0.9
43,correlation,4.5,400,0.9896551724137931,0.9333333333333333
44,correlation,4.5,500,0.993103448275862,0.9333333333333333
45,correlation,4.5,600,0.9919540229885058,0.9333333333333333
46,correlation,4.5,700,0.9862068965517241,0.9333333333333333
47,correlation,4.5,800,0.9908045977011495,0.9333333333333333
48,correlation,4.5,900,0.9885057471264368,0.9333333333333333
49,correlation,4.5,1000,0.9896551724137931,0.9333333333333333
50,correlation,5.0,100,0.9770114942528736,0.8333333333333334
51,correlation,5.0,200,0.9747126436781609,0.9
52,correlation,5.0,300,0.9919540229885058,0.9666666666666667
53,correlation,5.0,400,0.9919540229885058,0.9666666666666667
54,correlation,5.0,500,0.9965517241379309,0.9666666666666667
55,correlation,5.0,600,0.9954022988505747,0.9666666666666667
56,correlation,5.0,700,0.9988505747126436,0.9666666666666667
57,correlation,5.0,800,1.0,1.0
58,correlation,5.0,900,0.9988505747126436,0.9666666666666667
59,correlation,5.0,1000,1.0,1.0
60,correlation,10.0,100,0.9896551724137931,0.9333333333333333
61,correlation,10.0,200,0.9942528735632183,0.9333333333333333
62,correlation,10.0,300,0.9977011494252873,0.9666666666666667
63,correlation,10.0,400,0.9965517241379309,0.9666666666666667
64,correlation,10.0,500,1.0,1.0
65,correlation,10.0,600,1.0,1.0
66,correlation,10.0,700,1.0,1.0
67,correlation,10.0,800,1.0,1.0
68,correlation,10.0,900,1.0,1.0
69,correlation,10.0,1000,1.0,1.0
70,correlation,15.0,100,0.9988505747126436,0.9666666666666667
71,correlation,15.0,200,1.0,1.0
72,correlation,15.0,300,1.0,1.0
73,correlation,15.0,400,1.0,1.0
74,correlation,15.0,500,1.0,1.0
75,correlation,15.0,600,1.0,1.0
76,correlation,15.0,700,1.0,1.0
77,correlation,15.0,800,1.0,1.0
78,correlation,15.0,900,1.0,1.0
