Distance,Roi,Data_length (min),Mean_ICC
tangent,300ROI,4.5,0.348401031
partial_correlation_scaled,300ROI,4.5,0.282704949
tangent_scaled,300ROI,4.5,0.297082601
correlation,300ROI,5,0.451952587
partial_correlation_scaled,300ROI,5,0.390550163
tangent_scaled,300ROI,5,0.354524998
correlation,300ROI,10,0.53872284
partial_correlation_scaled,300ROI,10,0.433534523
tangent_scaled,300ROI,10,0.407747711
correlation,300ROI,15,0.63367551
partial_correlation_scaled,300ROI,15,0.469368617
tangent_scaled,300ROI,15,0.451192704
correlation,300ROI,20,0.681680716
partial_correlation_scaled,300ROI,20,0.484526151
tangent_scaled,300ROI,20,0.464273237
correlation,300ROI,25,0.738168163
partial_correlation_scaled,300ROI,25,0.512476088
tangent_scaled,300ROI,25,0.497590361
correlation,300ROI,30,0.761035262
partial_correlation_scaled,300ROI,30,0.52300641
tangent_scaled,300ROI,30,0.515950569
correlation,300ROI,35,0.791143461
partial_correlation_scaled,300ROI,35,0.540115903
tangent_scaled,300ROI,35,0.530968083
correlation,300ROI,40,0.808146009
partial_correlation_scaled,300ROI,40,0.552006539
tangent_scaled,300ROI,40,0.546179661
correlation,300ROI,45,0.829694549
partial_correlation_scaled,300ROI,45,0.565349203
tangent_scaled,300ROI,45,0.570406505
correlation,300ROI,50,0.842068773
partial_correlation_scaled,300ROI,50,0.575256373
tangent_scaled,300ROI,50,0.582169394
correlation,400ROI,0.5,0.204881833
partial_correlation,400ROI,0.5,0.187260846
tangent,400ROI,0.5,0.181306072
partial_correlation_scaled,400ROI,0.5,0.154569143
tangent_scaled,400ROI,0.5,0.143127435
correlation,400ROI,1,0.240571403
partial_correlation,400ROI,1,0.221015906
tangent,400ROI,1,0.21784371
partial_correlation_scaled,400ROI,1,0.177118047
tangent_scaled,400ROI,1,0.205774914
correlation,400ROI,2.5,0.347228887
partial_correlation,400ROI,2.5,0.315225023
tangent,400ROI,2.5,0.281281154
partial_correlation_scaled,400ROI,2.5,0.207758571
tangent_scaled,400ROI,2.5,0.256094562
correlation,400ROI,3.5,0.400242099
partial_correlation,400ROI,3.5,0.352252611
tangent,400ROI,3.5,0.316456327
partial_correlation_scaled,400ROI,3.5,0.197523586
tangent_scaled,400ROI,3.5,0.299148827
correlation,400ROI,4.5,0.437555304
partial_correlation,400ROI,4.5,0.378350178
tangent,400ROI,4.5,0.3375891
partial_correlation_scaled,400ROI,4.5,0.183826236
tangent_scaled,400ROI,4.5,0.282730289
correlation,400ROI,5,0.463924112
partial_correlation_scaled,400ROI,5,0.391940701
tangent_scaled,400ROI,5,0.35241415
correlation,400ROI,10,0.546548541
partial_correlation_scaled,400ROI,10,0.441792071
tangent_scaled,400ROI,10,0.38585757
correlation,400ROI,15,0.638247504
partial_correlation_scaled,400ROI,15,0.467915622
tangent_scaled,400ROI,15,0.414531277
correlation,400ROI,20,0.684358459
partial_correlation_scaled,400ROI,20,0.47383584
tangent_scaled,400ROI,20,0.436604531
correlation,400ROI,25,0.739905037
partial_correlation_scaled,400ROI,25,0.48263773
tangent_scaled,400ROI,25,0.453814848
correlation,400ROI,30,0.76368008
partial_correlation_scaled,400ROI,30,0.488896569
tangent_scaled,400ROI,30,0.468911425
correlation,400ROI,35,0.794656873
partial_correlation_scaled,400ROI,35,0.493297857
tangent_scaled,400ROI,35,0.484574735
correlation,400ROI,40,0.811520326
partial_correlation_scaled,400ROI,40,0.499590996
tangent_scaled,400ROI,40,0.4957594
correlation,400ROI,45,0.833176947
partial_correlation_scaled,400ROI,45,0.513339947
tangent_scaled,400ROI,45,0.513326038
correlation,400ROI,50,0.844989798
partial_correlation_scaled,400ROI,50,0.51620832
tangent_scaled,400ROI,50,0.522950905
correlation,500ROI,0.5,0.198861383
partial_correlation,500ROI,0.5,0.18408155
tangent,500ROI,0.5,0.181235048
partial_correlation_scaled,500ROI,0.5,0.182474043
tangent_scaled,500ROI,0.5,0.165632289
correlation,500ROI,1,0.238712257
partial_correlation,500ROI,1,0.21871963
tangent,500ROI,1,0.21268405
partial_correlation_scaled,500ROI,1,0.158379031
tangent_scaled,500ROI,1,0.184818558
correlation,500ROI,2.5,0.345121047
partial_correlation,500ROI,2.5,0.314733158
tangent,500ROI,2.5,0.278451779
partial_correlation_scaled,500ROI,2.5,0.200709199
tangent_scaled,500ROI,2.5,0.24844193
correlation,500ROI,3.5,0.398482417
partial_correlation,500ROI,3.5,0.351089474
tangent,500ROI,3.5,0.300459584
partial_correlation_scaled,500ROI,3.5,0.241159355
tangent_scaled,500ROI,3.5,0.243109157
correlation,500ROI,4.5,0.43770027
partial_correlation,500ROI,4.5,0.374774729
tangent,500ROI,4.5,0.324194544
partial_correlation_scaled,500ROI,4.5,0.213162972
tangent_scaled,500ROI,4.5,0.237790976
correlation,500ROI,5,0.471929862
partial_correlation_scaled,500ROI,5,0.39707185
tangent_scaled,500ROI,5,0.334658032
correlation,500ROI,10,0.555725226
partial_correlation_scaled,500ROI,10,0.437274352
tangent_scaled,500ROI,10,0.366470794
correlation,500ROI,15,0.648512234
partial_correlation_scaled,500ROI,15,0.467821728
tangent_scaled,500ROI,15,0.394011403
correlation,500ROI,20,0.694812953
partial_correlation_scaled,500ROI,20,0.470200934
tangent_scaled,500ROI,20,0.404270921
correlation,500ROI,25,0.748969385
partial_correlation_scaled,500ROI,25,0.477677593
tangent_scaled,500ROI,25,0.421132688
correlation,500ROI,30,0.771233607
partial_correlation_scaled,500ROI,30,0.469833139
tangent_scaled,500ROI,30,0.432570521
correlation,500ROI,35,0.80069256
partial_correlation_scaled,500ROI,35,0.465258718
tangent_scaled,500ROI,35,0.442768793
correlation,500ROI,40,0.816338536
partial_correlation_scaled,500ROI,40,0.466018698
tangent_scaled,500ROI,40,0.452396497
correlation,500ROI,45,0.838211503
partial_correlation_scaled,500ROI,45,0.470574108
tangent_scaled,500ROI,45,0.469975601
correlation,500ROI,50,0.849663343
partial_correlation_scaled,500ROI,50,0.472437359
tangent_scaled,500ROI,50,0.475040981
correlation,600ROI,0.5,0.196078645
partial_correlation,600ROI,0.5,0.182407969
tangent,600ROI,0.5,0.183653259
partial_correlation_scaled,600ROI,0.5,0.143126356
tangent_scaled,600ROI,0.5,0.184106095
correlation,600ROI,1,0.2348723
partial_correlation,600ROI,1,0.218447765
tangent,600ROI,1,0.214703118
partial_correlation_scaled,600ROI,1,0.141246221
tangent_scaled,600ROI,1,0.193553412
correlation,600ROI,2.5,0.337090582
partial_correlation,600ROI,2.5,0.312204306
tangent,600ROI,2.5,0.273217753
partial_correlation_scaled,600ROI,2.5,0.215923886
tangent_scaled,600ROI,2.5,0.22635545
correlation,600ROI,3.5,0.389928458
partial_correlation,600ROI,3.5,0.342251697
tangent,600ROI,3.5,0.297443913
partial_correlation_scaled,600ROI,3.5,0.186184265
tangent_scaled,600ROI,3.5,0.254184073
correlation,600ROI,4.5,0.427578064
partial_correlation,600ROI,4.5,0.366012637
tangent,600ROI,4.5,0.313940497
partial_correlation_scaled,600ROI,4.5,0.265691223
tangent_scaled,600ROI,4.5,0.260864384
correlation,600ROI,5,0.476111735
partial_correlation_scaled,600ROI,5,0.396278139
tangent_scaled,600ROI,5,0.333109654
