Distance,Roi,Data_length (min),Mean_ICC
tangent,300ROI,4.5,0.293560655
partial_correlation_scaled,300ROI,4.5,0.175029533
tangent_scaled,300ROI,4.5,0.248340888
correlation,300ROI,5,0.353558976
partial_correlation_scaled,300ROI,5,0.227238866
tangent_scaled,300ROI,5,0.300524534
correlation,300ROI,10,0.429252465
partial_correlation_scaled,300ROI,10,0.229809679
tangent_scaled,300ROI,10,0.332327968
correlation,300ROI,15,0.519722512
partial_correlation_scaled,300ROI,15,0.231497638
tangent_scaled,300ROI,15,0.364035133
correlation,300ROI,20,0.573104903
partial_correlation_scaled,300ROI,20,0.233645669
tangent_scaled,300ROI,20,0.379534549
correlation,300ROI,25,0.633267083
partial_correlation_scaled,300ROI,25,0.240090965
tangent_scaled,300ROI,25,0.400498118
correlation,300ROI,30,0.664118423
partial_correlation_scaled,300ROI,30,0.244370713
tangent_scaled,300ROI,30,0.413912772
correlation,300ROI,35,0.699780332
partial_correlation_scaled,300ROI,35,0.249661831
tangent_scaled,300ROI,35,0.429466524
correlation,300ROI,40,0.718957661
partial_correlation_scaled,300ROI,40,0.255206054
tangent_scaled,300ROI,40,0.441610016
correlation,300ROI,45,0.746460487
partial_correlation_scaled,300ROI,45,0.260819506
tangent_scaled,300ROI,45,0.455188362
correlation,300ROI,50,0.761664409
partial_correlation_scaled,300ROI,50,0.265154589
tangent_scaled,300ROI,50,0.465257417
correlation,400ROI,0.5,0.166212561
partial_correlation,400ROI,0.5,0.166569051
tangent,400ROI,0.5,0.182576426
partial_correlation_scaled,400ROI,0.5,0.142063288
tangent_scaled,400ROI,0.5,0.136049071
correlation,400ROI,1,0.19494021
partial_correlation,400ROI,1,0.181990501
tangent,400ROI,1,0.209232372
partial_correlation_scaled,400ROI,1,0.147467367
tangent_scaled,400ROI,1,0.192094135
correlation,400ROI,2.5,0.254826484
partial_correlation,400ROI,2.5,0.204022182
tangent,400ROI,2.5,0.257970829
partial_correlation_scaled,400ROI,2.5,0.149523887
tangent_scaled,400ROI,2.5,0.233194698
correlation,400ROI,3.5,0.285779131
partial_correlation,400ROI,3.5,0.20864402
tangent,400ROI,3.5,0.277147728
partial_correlation_scaled,400ROI,3.5,0.141019348
tangent_scaled,400ROI,3.5,0.26753799
correlation,400ROI,4.5,0.312663207
partial_correlation,400ROI,4.5,0.210993934
tangent,400ROI,4.5,0.290145242
partial_correlation_scaled,400ROI,4.5,0.123199968
tangent_scaled,400ROI,4.5,0.239772032
correlation,400ROI,5,0.357975389
partial_correlation_scaled,400ROI,5,0.228430549
tangent_scaled,400ROI,5,0.298329381
correlation,400ROI,10,0.434714055
partial_correlation_scaled,400ROI,10,0.228962402
tangent_scaled,400ROI,10,0.326216187
correlation,400ROI,15,0.523627169
partial_correlation_scaled,400ROI,15,0.229887562
tangent_scaled,400ROI,15,0.350563681
correlation,400ROI,20,0.575691412
partial_correlation_scaled,400ROI,20,0.228243564
tangent_scaled,400ROI,20,0.363584257
correlation,400ROI,25,0.635779918
partial_correlation_scaled,400ROI,25,0.229527181
tangent_scaled,400ROI,25,0.379517724
correlation,400ROI,30,0.666010937
partial_correlation_scaled,400ROI,30,0.230082343
tangent_scaled,400ROI,30,0.388927881
correlation,400ROI,35,0.700868967
partial_correlation_scaled,400ROI,35,0.232994458
tangent_scaled,400ROI,35,0.400787023
correlation,400ROI,40,0.720490221
partial_correlation_scaled,400ROI,40,0.235935721
tangent_scaled,400ROI,40,0.410560671
correlation,400ROI,45,0.747560546
partial_correlation_scaled,400ROI,45,0.23904657
tangent_scaled,400ROI,45,0.422019875
correlation,400ROI,50,0.762572495
partial_correlation_scaled,400ROI,50,0.241509049
tangent_scaled,400ROI,50,0.429372163
