,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
61,correlation,10.0,200,0.9839080459770115,0.8333333333333334
62,correlation,10.0,300,0.9954022988505747,0.8666666666666667
63,correlation,10.0,400,0.9977011494252873,0.9333333333333333
64,correlation,10.0,500,0.9988505747126436,0.9666666666666667
65,correlation,10.0,600,1.0,1.0
66,correlation,10.0,700,0.9988505747126436,0.9666666666666667
67,correlation,10.0,800,1.0,1.0
68,correlation,10.0,900,1.0,1.0
69,correlation,10.0,1000,1.0,1.0
70,correlation,15.0,100,0.9919540229885058,0.9333333333333333
71,correlation,15.0,200,0.9977011494252873,0.9333333333333333
72,correlation,15.0,300,1.0,1.0
73,correlation,15.0,400,1.0,1.0
74,correlation,15.0,500,1.0,1.0
75,correlation,15.0,600,1.0,1.0
76,correlation,15.0,700,1.0,1.0
77,correlation,15.0,800,1.0,1.0
78,correlation,15.0,900,1.0,1.0
79,correlation,15.0,1000,1.0,1.0
80,correlation,20.0,100,1.0,1.0
81,correlation,20.0,200,1.0,1.0
82,correlation,20.0,300,1.0,1.0
83,correlation,20.0,400,1.0,1.0
84,correlation,20.0,500,1.0,1.0
85,correlation,20.0,600,1.0,1.0
86,correlation,20.0,700,1.0,1.0
87,correlation,20.0,800,1.0,1.0
88,correlation,20.0,900,1.0,1.0
89,correlation,20.0,1000,1.0,1.0
90,correlation,25.0,100,1.0,1.0
91,correlation,25.0,200,1.0,1.0
92,correlation,25.0,300,1.0,1.0
93,correlation,25.0,400,1.0,1.0
94,correlation,25.0,500,1.0,1.0
95,correlation,25.0,600,1.0,1.0
96,correlation,25.0,700,1.0,1.0
97,correlation,25.0,800,1.0,1.0
98,correlation,25.0,900,1.0,1.0
99,correlation,25.0,1000,1.0,1.0
100,correlation,30.0,100,1.0,1.0
101,correlation,30.0,200,1.0,1.0
102,correlation,30.0,300,1.0,1.0
103,correlation,30.0,400,1.0,1.0
104,correlation,30.0,500,1.0,1.0
105,correlation,30.0,600,1.0,1.0
106,correlation,30.0,700,1.0,1.0
107,correlation,30.0,800,1.0,1.0
108,correlation,30.0,900,1.0,1.0
109,correlation,30.0,1000,1.0,1.0
110,correlation,35.0,100,1.0,1.0
111,correlation,35.0,200,1.0,1.0
112,correlation,35.0,300,1.0,1.0
113,correlation,35.0,400,1.0,1.0
114,correlation,35.0,500,1.0,1.0
115,correlation,35.0,600,1.0,1.0
116,correlation,35.0,700,1.0,1.0
117,correlation,35.0,800,1.0,1.0
118,correlation,35.0,900,1.0,1.0
119,correlation,35.0,1000,1.0,1.0
120,correlation,40.0,100,1.0,1.0
121,correlation,40.0,200,1.0,1.0
122,correlation,40.0,300,1.0,1.0
123,correlation,40.0,400,1.0,1.0
124,correlation,40.0,500,1.0,1.0
125,correlation,40.0,600,1.0,1.0
126,correlation,40.0,700,1.0,1.0
127,correlation,40.0,800,1.0,1.0
128,correlation,40.0,900,1.0,1.0
129,correlation,40.0,1000,1.0,1.0
130,correlation,45.0,100,1.0,1.0
131,correlation,45.0,200,1.0,1.0
132,correlation,45.0,300,1.0,1.0
133,correlation,45.0,400,1.0,1.0
134,correlation,45.0,500,1.0,1.0
135,correlation,45.0,600,1.0,1.0
136,correlation,45.0,700,1.0,1.0
137,correlation,45.0,800,1.0,1.0
138,correlation,45.0,900,1.0,1.0
139,correlation,45.0,1000,1.0,1.0
140,correlation,50.0,100,1.0,1.0
141,correlation,50.0,200,1.0,1.0
142,correlation,50.0,300,1.0,1.0
143,correlation,50.0,400,1.0,1.0
144,correlation,50.0,500,1.0,1.0
145,correlation,50.0,600,1.0,1.0
146,correlation,50.0,700,1.0,1.0
147,correlation,50.0,800,1.0,1.0
148,correlation,50.0,900,1.0,1.0
149,correlation,50.0,1000,1.0,1.0
150,partial_correlation,0.5,100,0.7425287356321839,0.23333333333333334
151,partial_correlation,0.5,200,0.8011494252873562,0.2
152,partial_correlation,0.5,300,0.8126436781609194,0.26666666666666666
153,partial_correlation,0.5,400,0.8137931034482759,0.23333333333333334
154,partial_correlation,0.5,500,0.8402298850574713,0.2
155,partial_correlation,0.5,600,0.8344827586206895,0.2
156,partial_correlation,0.5,700,0.7919540229885057,0.13333333333333333
157,partial_correlation,0.5,800,0.8160919540229886,0.16666666666666666
158,partial_correlation,0.5,900,0.8310344827586206,0.16666666666666666
159,partial_correlation,0.5,1000,0.8206896551724138,0.16666666666666666
160,partial_correlation,1.0,100,0.9172413793103448,0.5
161,partial_correlation,1.0,200,0.9781609195402299,0.7
162,partial_correlation,1.0,300,0.9862068965517241,0.7333333333333333
163,partial_correlation,1.0,400,0.9908045977011495,0.8
164,partial_correlation,1.0,500,0.9873563218390804,0.7666666666666667
165,partial_correlation,1.0,600,0.9758620689655172,0.7666666666666667
166,partial_correlation,1.0,700,0.960919540229885,0.7
167,partial_correlation,1.0,800,0.9712643678160919,0.7
168,partial_correlation,1.0,900,0.9770114942528736,0.7666666666666667
169,partial_correlation,1.0,1000,0.9747126436781609,0.7666666666666667
170,partial_correlation,2.5,100,0.9827586206896551,0.8333333333333334
171,partial_correlation,2.5,200,0.9988505747126436,0.9666666666666667
172,partial_correlation,2.5,300,1.0,1.0
173,partial_correlation,2.5,400,1.0,1.0
174,partial_correlation,2.5,500,1.0,1.0
175,partial_correlation,2.5,600,1.0,1.0
176,partial_correlation,2.5,700,1.0,1.0
177,partial_correlation,2.5,800,1.0,1.0
178,partial_correlation,2.5,900,1.0,1.0
179,partial_correlation,2.5,1000,1.0,1.0
180,partial_correlation,3.5,100,0.9873563218390804,0.8666666666666667
181,partial_correlation,3.5,200,0.9977011494252873,0.9666666666666667
182,partial_correlation,3.5,300,1.0,1.0
183,partial_correlation,3.5,400,1.0,1.0
184,partial_correlation,3.5,500,1.0,1.0
185,partial_correlation,3.5,600,1.0,1.0
186,partial_correlation,3.5,700,1.0,1.0
187,partial_correlation,3.5,800,1.0,1.0
188,partial_correlation,3.5,900,1.0,1.0
189,partial_correlation,3.5,1000,1.0,1.0
190,partial_correlation,4.5,100,0.9862068965517242,0.8666666666666667
191,partial_correlation,4.5,200,1.0,1.0
192,partial_correlation,4.5,300,1.0,1.0
193,partial_correlation,4.5,400,1.0,1.0
194,partial_correlation,4.5,500,1.0,1.0
195,partial_correlation,4.5,600,1.0,1.0
196,partial_correlation,4.5,700,1.0,1.0
197,partial_correlation,4.5,800,1.0,1.0
198,partial_correlation,4.5,900,1.0,1.0
199,partial_correlation,4.5,1000,1.0,1.0
200,partial_correlation,5.0,100,0.9919540229885057,0.9333333333333333
201,partial_correlation,5.0,200,1.0,1.0
202,partial_correlation,5.0,300,1.0,1.0
203,partial_correlation,5.0,400,1.0,1.0
204,partial_correlation,5.0,500,1.0,1.0
205,partial_correlation,5.0,600,1.0,1.0
206,partial_correlation,5.0,700,1.0,1.0
207,partial_correlation,5.0,800,1.0,1.0
208,partial_correlation,5.0,900,1.0,1.0
209,partial_correlation,5.0,1000,1.0,1.0
210,partial_correlation,10.0,100,1.0,1.0
211,partial_correlation,10.0,200,0.9919540229885057,0.9
212,partial_correlation,10.0,300,0.9988505747126436,0.9666666666666667
213,partial_correlation,10.0,400,1.0,1.0
214,partial_correlation,10.0,500,1.0,1.0
215,partial_correlation,10.0,600,1.0,1.0
216,partial_correlation,10.0,700,1.0,1.0
217,partial_correlation,10.0,800,1.0,1.0
218,partial_correlation,10.0,900,1.0,1.0
219,partial_correlation,10.0,1000,1.0,1.0
220,partial_correlation,15.0,100,1.0,1.0
221,partial_correlation,15.0,200,0.9977011494252873,0.9666666666666667
222,partial_correlation,15.0,300,0.9977011494252873,0.9666666666666667
223,partial_correlation,15.0,400,0.9977011494252873,0.9666666666666667
